epoch,train_nll_per_dim
0,-1.1746941804885864
1,-1.2113468050956726
2,-1.2405298522540502
3,-1.301318611417498
4,-1.346132184777941
5,-1.3800409521375383
6,-1.4056619916643416
7,-1.4309696469988142
8,-1.456166046006339
9,-1.4747500164168221
10,-1.4963286774499076
11,-1.5154681972094945
12,-1.53460807459695
13,-1.5462395804268974
14,-1.5590307116508484
15,-1.5752611671175276
16,-1.5962961230959212
17,-1.609197633607047
18,-1.621307977608272
19,-1.6364248394966125
20,-1.6488998702594213
21,-1.6564778685569763
22,-1.6684076275144304
23,-1.6850895881652832
24,-1.7014882734843664
25,-1.71000771011625
26,-1.7186996170452662
27,-1.7263003247124808
28,-1.7423759869166784
29,-1.7519887941224235
30,-1.7598400286265783
31,-1.761701660496848
32,-1.7559582335608346
33,-1.7783154504639762
34,-1.7906544974872045
35,-1.798972249031067
36,-1.8127074241638184
37,-1.8233833823885237
38,-1.819505785192762
39,-1.8269198025975908
40,-1.831688140119825
41,-1.8392974053110396
42,-1.8518985509872437
43,-1.8617614763123649
44,-1.8695664065224784
45,-1.8712987559182304
46,-1.8761464868273054
47,-1.8756356409617834
48,-1.8821929012026106
49,-1.88599465574537
50,-1.8783905506134033
51,-1.890319185597556
52,-1.9068687558174133
53,-1.911338176046099
54,-1.9153629371098109
55,-1.9177377309117998
56,-1.9296197210039412
57,-1.933809220790863
58,-1.9370644177709306
59,-1.9409406185150146
60,-1.9477830954960413
61,-1.9434196182659693
62,-1.9444328376225062
63,-1.9527877058301653
64,-1.9545480183192663
65,-1.9587648681231908
66,-1.9644086020333427
67,-1.9692726561001368
68,-1.9579180479049683
69,-1.968190951006753
70,-1.9791729365076338
71,-1.9850036076136999
72,-1.9788808482033866
73,-1.9776743054389954
74,-1.9896989720208305
75,-1.9857790981020247
76,-1.997809180191585
77,-1.999521723815373
78,-2.0083609223365784
79,-2.0024364250046864
80,-1.995954462460109
81,-1.9990569608552116
82,-2.007709562778473
83,-1.9969679883548193
84,-2.0124664987836565
85,-2.015195514474596
86,-2.0180957657950267
87,-2.0341836554663524
88,-2.037569625037057
89,-2.042369306087494
90,-2.040630723748888
91,-2.032167766775404
92,-2.0475515723228455
93,-2.0417155708585466
94,-2.043807429926736
95,-2.0539530430521284
96,-2.0445580227034434
97,-2.0501746279852733
98,-2.051083973475865
99,-2.05711316210883
100,-2.060798534325191
101,-2.059810791696821
102,-2.0636271578925
103,-2.0754777022770474
104,-2.0680780240467618
105,-2.07003676039832
106,-2.0767146604401723
107,-2.0792927742004395
108,-2.079880586692265
109,-2.078149369784764
110,-2.090609380177089
111,-2.09006861277989
112,-2.089541350092207
113,-2.091914313180106
114,-2.1009315763201033
115,-2.1028183358056203
116,-2.1001156738826205
117,-2.1018609830311368
118,-2.100404517991202
119,-2.1058937651770457
120,-2.1083131347383772
121,-2.1153878484453474
122,-2.1159679208483015
123,-2.1147687264851163
124,-2.1135904618671963
125,-2.122427616800581
126,-2.1280597107751027
127,-2.134293181555612
128,-2.131692511694772
129,-2.130733217511858
130,-2.129558171544756
131,-2.1303018501826694
132,-2.1243783065250943
133,-2.1295118842806136
134,-2.132403237479074
135,-2.136762397629874
136,-2.1407005105699812
137,-2.1428206307547435
138,-2.1415850945881436
139,-2.1445227009909495
140,-2.1478050436292375
141,-2.146001832825797
142,-2.1500242948532104
143,-2.1558188710893904
144,-2.1596968344279697
145,-2.164050715310233
146,-2.163475121770586
147,-2.1666554042271207
148,-2.168219498225621
149,-2.170305814061846
150,-2.17071270942688
151,-2.1705328055790494
152,-2.170363647597177
153,-2.1688360486711775
154,-2.1716185808181763
155,-2.172801068850926
156,-2.172075016157968
157,-2.1709602900913785
158,-2.176615595817566
159,-2.181452138083322
160,-2.1793695177350725
161,-2.1829941272735596
162,-2.18582774911608
163,-2.1873237235205516
164,-2.1894733224596297
165,-2.191368426595415
166,-2.191870757511684
167,-2.1915030479431152
168,-2.1930885144642422
169,-2.1937265736716136
170,-2.1948103393827165
171,-2.1952371086393083
172,-2.1970069067818776
173,-2.1975514888763428
174,-2.198560459273202
175,-2.199622324534825
176,-2.199789047241211
177,-2.2003265619277954
178,-2.200929505484445
179,-2.200826031821115
180,-2.202280282974243
181,-2.201742172241211
182,-2.202077490942819
183,-2.2020412172589983
184,-2.202515023095267
185,-2.2035187653132846
186,-2.20277954850878
187,-2.2035541023526872
188,-2.2038815702710832
189,-2.203965357371739
190,-2.2037243843078613
191,-2.2040672642844066
192,-2.2039865595953807
193,-2.2036599261420116
194,-2.2044152532305037
195,-2.20444461277553
196,-2.204130870955331
197,-2.205159272466387
198,-2.204198053904942
199,-2.203831434249878
