label,resid_mean_mva,resid_p95_mva,resid_max_mva,W1_Pd,W1_Vm,ACF_head_rmse,W1_head_ramps,XCorr_Pd_rmse,div_pd_ratio,div_vm_ratio,n_days,kd
v1@7d,0.008328410796821117,0.019483165815472603,1.7693562507629395,0.0035219100916855073,0.00021300079518057568,0.23504948932504074,0.24228469113135642,0.09864794197290463,0.760890646101345,0.7856121229970918,7.0,6.0
v1@14d,0.008526639081537724,0.020910408347845078,1.7058533430099487,0.0027449139187672644,0.0002492790770478193,0.07343400795956494,0.26163312924681525,0.03643040439052522,0.8904698679389124,0.8673733782356614,14.0,13.0
v1@30d,0.008047663606703281,0.019581636413931847,1.351975440979004,0.0008690311006517777,0.0001813882696031388,0.038196400398260257,0.2670220801028117,0.06747930703930113,0.9336547484160655,0.9551776326451231,30.0,29.0
v1@60d,0.008421451784670353,0.02067241631448269,1.3420283794403076,0.002341349357184051,0.0002541095190216214,0.04538306964165024,0.26272018121007845,0.029844303541194328,0.9856464980219559,0.9001098115747758,60.0,59.0
v1@120d,0.007567175198346376,0.01781306229531765,1.4555720090866089,0.0030099818461571783,0.00028135119265273236,0.02808625564370642,0.2732395096138229,0.039610859557757935,0.9496398264192272,0.913741783613178,120.0,64.0
v1@311d,0.0070328074507415295,0.015680812299251556,1.3432010412216187,0.002048546203561791,0.00018449739812118838,0.021111054698561282,0.27207470191533656,0.04976959771221038,0.9091011316784702,0.8998043365655164,311.0,64.0
v0_zeroshot,88.22079467773438,249.35353088378906,1539.5687255859375,0.013714721717732314,0.0010454082906884543,0.09798123311937175,0.08479847350589192,0.25167895491715353,0.9471483480390911,0.9748863649516668,,
independent,38.989654541015625,119.32801055908203,660.5144653320312,0.0027152338584218337,0.00021091894638598175,0.013724486355169761,0.02355440956344935,0.3407868942828594,0.9877054156482092,0.959542423678174,,
pca_ceiling,0.008070671930909157,0.017888672649860382,1.4525309801101685,0.0005202736497047389,4.675435610977385e-05,0.009265746342313145,0.2614695888417287,0.02459591244768217,0.9385492983178203,0.9395186943615967,,
